Year,License Type,LICENSES Approved,Number of Licenses
2009,Buying,Lobster,172
2009,Buying,Other Crustaceans,88
2009,Buying,Groundfish,53
2009,Buying,Pelagic,114
2009,Buying,Mollusc,121
2009,Buying,Other Fish,7
2010,Buying,Lobster,215
2010,Buying,Other Crustaceans,122
2010,Buying,Groundfish,63
2010,Buying,Pelagic,144
2010,Buying,Mollusc,119
2010,Buying,Other Fish,10
2011,Buying,Lobster,178
2011,Buying,Other Crustaceans,104
2011,Buying,Groundfish,47
2011,Buying,Pelagic,129
2011,Buying,Mollusc,113
2011,Buying,Other Fish,10
2012,Buying,Lobster,189
2012,Buying,Other Crustaceans,94
2012,Buying,Groundfish,51
2012,Buying,Pelagic,127
2012,Buying,Mollusc,121
2012,Buying,Other Fish,4
2013,Buying,Lobster,171
2013,Buying,Other Crustaceans,65
2013,Buying,Groundfish,32
2013,Buying,Pelagic,97
2013,Buying,Mollusc,105
2013,Buying,Other Fish,4
2014,Buying,Lobster,200
2014,Buying,Other Crustaceans,119
2014,Buying,Groundfish,58
2014,Buying,Pelagic,142
2014,Buying,Mollusc,165
2014,Buying,Other Fish,7
2015,Buying,Lobster,232
2015,Buying,Other Crustaceans,90
2015,Buying,Groundfish,38
2015,Buying,Pelagic,127
2015,Buying,Mollusc,167
2015,Buying,Other Fish,3
2016,Buying,Lobster,246
2016,Buying,Other Crustaceans,107
2016,Buying,Groundfish,53
2016,Buying,Pelagic,159
2016,Buying,Mollusc,150
2016,Buying,Other Fish,12
2017,Buying,Lobster,213
2017,Buying,Other Crustaceans,80
2017,Buying,Groundfish,42
2017,Buying,Pelagic,131
2017,Buying,Mollusc,130
2017,Buying,Other Fish,4
2018,Buying,Lobster,176
2018,Buying,Other Crustaceans,69
2018,Buying,Groundfish,35
2018,Buying,Pelagic,101
2018,Buying,Mollusc,106
2018,Buying,Other Fish,2
